,date,name,city,country,description,sources,hynek_scale,latitude,longitude
0,1909-01-01 to 1909-12-31,Mystery airships,Otago,New Zealand,"Strange moving lights and some solid bodies in the sky were seen around Otago and elsewhere in New Zealand, and were reported to newspapers.","""Papers Past — Evening Post — 4 August 1921 — A MYSTERY OF 1909"". Paper",1,-45.1299858,169.5248818
1,1917-08-13,Miracle of the Sun,"Fátima ,  Santarém District",Portugal,"Thousands of people observed the sun gyrate and descend. This was later reinterpreted by  Jacques Vallée , Joaquim Fernandes and Fina d'Armada as a possible UFO sighting, but not recognized as such due to cultural differences.","Joaquim Fernandes and Fina d'Armada, Heavenly Lights 2005
Joaquim Fernandes a",1,39.6255372,-8.6659421
2,1940-01-01 to 1950-01-01,Foo fighters,,Over  World War II  theaters,Small metallic spheres and colorful balls of light repeatedly spotted and occasionally photographed worldwide by bomber crews during World War II.,"""Foo-Fighter"". time.com. TIME. 1945-01-15. Retrieved 2008-07-03. 
Henry Stev",2,0.0,0.0
3,1941-01-01 to 1941-12-31,Cape Girardeau UFO crash,"Cape Girardeau ,  Missouri",United States,First responders and a Baptist minister allegedly view crashed spacecraft and alien bodies. Military arrives and swears witnesses to silence.,"Ryan S. Wood. ""The First Roswell: Evidence For A Crash Retrieval In Cape Gira",3,37.3058839,-89.5181475
4,1942-01-01 to 1942-12-31,Hopeh Incident,"Tsientsien,  Hebei",Republic of China,Photographs show what is reported to be a UFO.,140 Years of UFO sightings Telegraph:,2,0.0,0.0
5,1942-02-24,Battle of Los Angeles,"Los Angeles, California",United States,Unidentified aerial objects trigger the firing of thousands of anti-aircraft rounds and raise the wartime alert status.,L.A. ‘Battle’ Launched a Golden Age of UFOs Los Angeles Times:,2,34.054935,-118.2444759
6,1946-01-01 to 1946-12-31,The Ghost Rockets,,"Mostly in  Scandinavia , but also other European countries","Numerous UFO sightings were reported over Scandinavia, causing the Swedish Defense Staff to express concern.",Science in the Early Twentieth Century - Jacob Darwin Hamblin - 2005,2,0.0,0.0
7,1946-05-18,UFO-Memorial Ängelholm,"Ängelholm ,  Kristianstads County",Sweden,Gösta Karlsson reports seeing a flying saucer and its alien passengers. A model of it is now erected at the site.,The Rough Guide to Sweden: James Proctor & Neil Roland,3,0.0,0.0
8,1947-06-21,Maury Island incident,"Puget Sound  near  Maury Island ,  Washington",United States,Harold A. Dahl reported that his dog was killed and his son was injured by debris in an encounter with four to six flying doughnut-shaped objects. He also claimed that a witness was subsequently threatened by the  Men in Black .,Is strange rock from UFO or just a piece of poppycock? Seattle p.i.com,2,0.0,0.0
9,1947-06-24,Kenneth Arnold UFO sighting,"North of  Mount Rainier ,  Washington",United States,"The UFO sighting that sparked the name  flying saucers . This sighting is considered as the start of the ""Modern UFO era"".",a b Saucers in the sky BBC News Magazine:,0,0.0,0.0
10,1947-06-01 to 1947-07-31,1947 UFO sightings,mostly  Washington,United States,Several UFO sightings reported after the sighting of  Kenneth Arnold .,a b Saucers in the sky BBC News Magazine:,,0.0,0.0
11,1947-06-01 to 1947-06-30,Roswell UFO crash,"about 30 mi north of  Roswell, New Mexico",United States,United States Army Air Forces  allegedly captured a crashed  flying saucer  and its alien occupants. The find was soon explained to be a weather balloon but regained attention since 1978 after investigation of  S. T. Friedman .,"Report on Roswell ‘UFO crash’ due soon CNN
Edgar Mitchell#Views on UFOs",3,0.0,0.0
12,1947-07-23,Bauru Close Encounter,"Bauru ,  São Paulo",Brazil,"José Higgins, a  topographer , reports a close encounter with three humanoid figures emerged from a UFO.",O Fantastico Caso Higgins,3,-22.3218101,-49.0705862
13,1948-01-01 to 1948-12-31,The Green Fireballs,,United States,Objects were reported over several United States military bases; an official investigation followed.,"Mysterious Green Fireballs, UFOs, And The ""Roswell Incident"" Committee for Sk",2,29.825009,-95.4786749
14,1948-01-07,Thomas Mantell,Kentucky,United States,"US Air Force sent a fighter pilot to investigate a UFO sighting over  Fort Knox, Kentucky ; his aircraft crashed and the pilot was killed while pursuing the UFO.","Captain Thomas Francis Mantell Jr. Archived July 21, 2011, at the Wayback Mac",2,37.5726028,-85.155141
15,1948-07-24,Chiles-Whitted UFO encounter,Alabama,United States,"Chiles and Whitted, American commercial pilots, reported that their airplane had nearly collided with a UFO",,1,33.2588817,-86.8295336
16,1948-10-01,Gorman dogfight,North Dakota,United States,"A US Air Force pilot sighted and pursued a UFO for 27 minutes over  Fargo, North Dakota .","Clark, Jerome (2003). Strange Skies: Pilot Encounters with UFOs. Citadel Pres",1,47.6201461,-100.5407369
17,1948-10-15,Fukuoka Incident,Kyushu Island,Japan,"The radar of a  F-61 Black Widow  detected a target below the aircraft. While the aircrew tried to intercept it, the pilot saw the object, which appeared as a stubby cigar; then the object accelerated and disappeared.","""NARCAP UFO Report"". Retrieved 2014-10-08. ",2,32.7554233,131.1105512
18,1949-01-01 to 1949-12-31,"Aztec, New Mexico, UFO incident",New Mexico,United States,An alleged retrieval of a grounded UFO and its occupants from a plateau in New Mexico,,3,34.5708167,-105.9930069
